,wavelength_-1.0V,-1.0V,wavelength_-0.5V,-0.5V,wavelength_0.0V,0.0V,wavelength_0.5V,0.5V,wavelength_1.0V,1.0V,wavelength_1.5V,1.5V,wavelength_2.0V,2.0V,wavelength_2.5V,2.5V,wavelength_3.0V,3.0V
0,1570.0057639999995,-42.71760720175052,1570.0061579999988,-42.49173178477085,1570.0062530120474,-42.52861179248651,1570.0060400000002,-43.53723391697649,1570.00628,-42.61013780557538,1570.0064750000001,-42.76190640741649,1570.00291,-42.783556289099415,1569.9868700000002,-43.10333383974572,1569.98636,-43.0278686708709
1,1570.0067419999998,-42.683427579686,1570.0072159999993,-42.654910017699706,1570.0072542168675,-43.016457395623135,1570.00708,-43.14721165468293,1570.0072450000002,-42.7394390789759,1570.007535,-42.877974601862626,1570.00416,-43.12337670995201,1569.98846,-43.68579325406838,1569.9878700000004,-43.4115669066607
2,1570.0080209999996,-42.66631999436924,1570.0084860000006,-42.54312367506199,1570.0084843373495,,1570.008345,-43.326136717953055,1570.0085249999997,-42.27846190789104,1570.0088550000003,-42.3484204970198,1570.0055350000002,-43.57372388909044,1569.990055,-43.608606849727735,1569.989415,-42.42242464294893
3,1570.0093060000008,-43.280632690479905,1570.009681000001,-42.73609239486619,1570.0096915662655,-43.25373584903685,1570.009505,-42.515686852569424,1570.00975,-42.386963630740254,1570.010105,-43.09191452721153,1570.0067650000003,-43.46261907923328,1569.9916200000002,-42.891000925873435,1569.990895,-43.47585215818766
4,1570.0104719999997,-42.7280726533322,1570.0108209999996,-42.661332466708025,1570.0108746987944,-42.82612390898005,1570.01071,-42.739678474162204,1570.0109850000001,-42.11567341631344,1570.0112550000001,-43.224908613937934,1570.008015,-42.3247315408198,1569.9934950000002,-42.47386892948306,1569.9925599999997,-43.523761442835806
5,1570.0118350000002,-43.5270100319568,1570.012149,,1570.0122518072294,-42.920731577660334,1570.0121199999999,-43.165951313383395,1570.0124649999998,-42.26396047384507,1570.01258,-42.52710616510362,1570.0093349999997,-41.90187947949544,1569.99515,-42.52710616510361,1569.99434,-42.794736206447304
6,1570.013085,-42.861468470147784,1570.0132830000011,-42.713325153277445,1570.0134734939763,-42.786025673370794,1570.0133100000003,-43.475852158187664,1570.0137050000003,-42.72678405159286,1570.013685,,1570.0103400000003,-42.85756043502854,1569.99602,-43.36877881804142,1569.9955599999998,-42.9295440595939
7,1570.0139450000008,-42.75976433884752,1570.0140690000005,-42.354731449360514,1570.0142987951808,-42.809822462362945,1570.0140549999999,-42.77250827319301,1570.0143900000003,-42.65131888271803,1570.0144300000004,-42.601110311032734,1570.011045,-42.198672416542465,1569.996715,-42.594207988826426,1569.99639,-42.16563586256808
8,1570.0146479999996,-42.78231764012048,1570.0148770000003,-42.74981434889079,1570.0150578313248,-42.949603819140876,1570.0148700000002,-42.40676710576024,1570.01507,-43.057031566574224,1570.015185,-42.94035268031398,1570.011925,-43.030772163609,1569.9976249999997,-42.66909510612991,1569.997285,-43.29697382224971
9,1570.0156919999997,-42.88804225325362,1570.015955999999,-42.60260880979185,1570.0160602409633,-42.62687024446412,1570.0159100000005,-42.550297533646486,1570.0160849999997,-43.331981954084185,1570.0163100000002,-42.7262060000215,1570.0129800000002,-43.11780263354895,1569.9984250000002,-42.435112310574695,1569.9981949999997,-42.15870090011904
